max_throttle,min_throttle,throttle_ramp_rate,safety_margin,rollout_distance,pursuit_lookahead,pursuit_blend,progress_weight,clearance_weight,smoothness_weight,steering_penalty_weight,gap_alignment_weight,turn_commitment_weight,max_steering_delta,temporal_blend,disparity_threshold,max_jump_distance,history_penalty_radius,history_penalty_weight,gap_threshold_scale,max_gap_threshold,turn_prediction_gain,forward_critical_distance,forward_warning_distance,forward_caution_distance,laps_completed,runtime,avg_lap_time,lap_consistency,collisions,collisions_per_lap,success,endurance_score
0.15,0.03,0.015,0.22,2.5,1.5,0.4,2,3,-2.5,-0.5,1.5,3,0.08,0.15,0.5,0.8,2,2,0.25,2,0.1,0.3,0.6,1.2,12,135.045344352722,11.2537786960602,0.38359134236245,0,0,0,149.947596548037
0.2,0.03,0.015,0.2,3,2.4,0.7,3,3,-2,-0.1,2.5,1,0.06,0.05,1,1.5,0.8,2,0.6,2.5,0.1,0.7,1,1.5,1,53.2550599575043,53.2550599575043,999,50,50,0,-6113.13764989376
0.2,0.03,0.03,0.16,2.5,1.2,0.2,1,3,-0.5,-0.3,1,5,0.04,0.15,1,0.8,0.8,6,0.45,1.5,0.1,0.5,0.8,1,14,135.026202917099,9.64472877979279,0.498704151530199,23,1.64285714285714,0,-276.605342707133
0.3,0.07,0.02,0.12,2,2.4,0.6,6,2,-2,-0.7,2.5,5,0.12,0.15,0.25,0.8,1.2,6,0.35,1.5,0.35,0.5,0.8,1,9,77.240430355072,8.58227003945245,0.632419158494306,50,5.55555555555556,0,-889.617770891103
0.25,0.05,0.005,0.08,1.5,1.5,0.8,6,3,-2.5,-0.5,1,2,0.1,0.2,0.4,1.5,1.2,1,0.45,2.5,0.2,0.4,1.3,2,14,135.059312105179,9.64709372179849,0.253418615910672,14,1,0,-95.3848273840496
0.2,0.05,0.03,0.08,1.5,2.4,0.7,2,3,-1,-0.1,1.5,2,0.1,0.15,0.5,1.5,1,1,0.6,3,0.5,0.7,1.3,1,14,135.055948495865,9.64685346399035,0.264082840118299,6,0.428571428571429,0,64.5624521394326
0.4,0.07,0.015,0.14,2,2.4,0.5,4,2,-2.5,-0.7,0.5,2,0.12,0.05,1,1.2,1.5,2,0.6,1.5,0.25,0.5,0.6,2,10,83.7939097881317,8.37939097881317,0.431283480307324,50,5,0,-873.10489484857
0.4,0.05,0.005,0.16,3,2.4,0.2,3,3,-1.5,-0.3,1,2,0.12,0.1,0.4,1.2,2,8,0.25,2.5,0.25,0.3,0.6,1,3,58.5504398345947,19.5168132781982,1.58609163761139,50,16.6666666666667,0,-1011.72249138355
0.3,0.05,0.015,0.16,3,2.4,0.4,5,3,-0.5,-0.9,0.5,6,0.06,0.05,0.5,2,0.8,8,0.35,3,0.25,0.3,1.3,1.2,9,88.4349682331085,9.8261075814565,1.30677352225963,50,5.55555555555556,0,-896.099136564939
0.4,0.05,0.03,0.08,3.5,1.2,0.6,1,1,-1.5,-0.1,1,6,0.12,0.1,0.4,1.2,0.8,6,0.6,2,0.2,0.5,1,1.2,6,75.5665147304535,12.5944191217422,1.16882013653313,50,8.33333333333333,0,-947.330148487021
0.45,0.05,0.01,0.08,1.5,1.5,0.4,5,1,-0.5,-0.3,2.5,4,0.08,0.2,0.4,2,0.8,2,0.6,2,0.1,0.3,0.6,1.2,7,70.9411399364471,10.1344485623496,1.82651645552967,50,7.14285714285714,0,-929.468703683522
